sku,manufacturer,model,name,_yoast_wpseo_title,meta_keyword,parent mpn,parent sku,mpn,upc,stock_number_rsr,stock_number_lipseys,_regular_price,_msrp,images,additional_images,product_type,attribute_set_code,magento_categories,categories,product_online,weight,tax_class_name,visibility,display_product_options_in,product_websites,gender,type,headwear_type,gender,fastener,parent_color,color_h,type,material,details
120292,Oakley Standard Issue,,Oakley Black/Carbon Fiber Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01W-S-M,888896412059,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120293,Oakley Standard Issue,,Oakley Black/Graphic Camo Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-01Y-L-XL,888896412066,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120294,Oakley Standard Issue,,Oakley Black/Graphic Camo Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01Y-S-M,888896412073,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120295,Oakley Standard Issue,,Oakley White/Red Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-106-L-XL,888896791512,,,28,28,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Colors/Red,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120296,Oakley Standard Issue,,Oakley White/Red Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-106-S-M,888896791529,,,28,28,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Colors/Red,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120297,Oakley Standard Issue,,Oakley Grigio Scuro Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-23Q-L-XL,888896411885,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120298,Oakley Standard Issue,,Oakley Grigio Scuro Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-23Q-S-M,888896411892,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120299,Oakley Standard Issue,,Oakley Navy/White Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-612-L-XL,888896791567,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Navy,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120300,Oakley Standard Issue,,Oakley Navy/White Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-612-S-M,888896791543,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Navy,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120301,Oakley Standard Issue,,Oakley Worn Olive Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-70L-L-XL,888896412004,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
